Nombre,Estado,Altitud,Clasificación,x,y,Última
Citlaltépetl,Veracruz y Puebla,5747,Estratovolcán,-97.16,19.02,1846
Popocatépetl,"México, Puebla y Morelos",5500,Estratovolcán,-98.7,19.308,2016
Iztaccíhuatl,México y Puebla,5230,Estratovolcán,-98.38,19.11,Holoceno
Xinantécatl,Estado de México,4690,Estratovolcán,-99.758,19.108,1350 AC
La Malinche,Puebla y Tlaxcala,4420,Estratovolcán,-98.02,19.14,1170 A.C ± 50 años
Cofre de Perote,Veracruz,4282,Volcán en escudo,-97.15,19.492,1150 ± 100 años
Nevado de Colima,Jalisco,4260,Estratovolcán,-103.608,19.563,
Las Cumbres,Puebla,3940,Estratovolcán,-97.27,19.15,3920 AC ± 50 años
Jocotitlan,Estado de México,3900,Estratovolcán,-99.757,19.724,1270 ± 75 años
Colima,Colima y Jalisco,3880,Estratovolcán,-103.62,19.51,2016
Michoacán-Guanajuato,Guanajuato y Michoacán,3860,,-101.75,19.85,1952
La Gloria,Puebla,3600,Campo volcánico,-97.25,19.33,
Papayo,Guerrero,3600,Estratovolcán,-98.7,19.308,Holoceno
Zitacuaro-Valle de Bravo,Michoacán,3500,Estratovolcán,-100.25,19.4,3050 AC ± 1000 años
Serdan-Oriental,Puebla,3485,Estratovolcán,-97.47,19.27,Holoceno
Las Derrumbadas,Puebla,3400,,97.28,19.18,
Xihuingo,Hidalgo,3240,,-98.53,19.81,
Los Humeros,Puebla,3150,,-97.45,19.68,Holoceno
Xitle,Distrito Federal,3100,Cono de ceniza,-99.25,19.2,"10,000a.C"
Paricutín,Michoacán,2800,Estratovolcán,-102.2,19.5,1952
Mascota (campo volcánico),Jalisco,2540,Campo Volcánico,-104.83,20.62,Holoceno
Sangangüey,Nayarit,2353,Estratovolcán,-104.73,21.45,1742
Ceboruco,Nayarit,2280,Estratovolcán,-104.508,21.125,1875
Naolinco,Veracruz,2000,Campo volcánico,-96.75,19.67,Holoceno
San Martín Tuxtla,Veracruz,1650,Estratovolcán,-95.32,18.57,1796
Jorullo,Michoacán,1330,Cono de escoria,-102.25,19.48,1774
Chichonal,Chiapas,1060,Caldera Volcánica-Domo de Lava,-93.2,17.33,1982
